symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2020-01-02,160.62,160.73,158.33,158.78,22634546,158.2076992245,158.3160471694,155.9520920073,156.3953336002,22634546,0.0,1.0
MSFT,2020-01-03,158.62,159.95,158.06,158.32,21121681,156.2377365894,157.5477617417,155.6861470516,155.9422421941,21121681,0.0,1.0
MSFT,2020-01-06,159.03,159.1,156.51,157.08,20826702,156.6415789296,156.7105276218,154.1594260094,154.7208653604,20826702,0.0,1.0
MSFT,2020-01-07,157.58,159.67,157.32,159.32,21881740,155.2133560192,157.2719669728,154.9572608766,156.9272235117,21881740,0.0,1.0
MSFT,2020-01-08,160.09,160.8,157.95,158.93,27762026,157.6856591262,158.3849958617,155.5777991066,156.5430807978,27762026,0.0,1.0
MSFT,2020-01-09,162.09,162.22,161.03,161.84,21399951,159.6556217613,159.7836693326,158.6115415647,159.4093764319,21399951,0.0,1.0
MSFT,2020-01-10,161.34,163.22,161.18,162.82,20733946,158.9168857731,160.7686506501,158.7592887623,160.3746581231,20733946,0.0,1.0
MSFT,2020-01-13,163.28,163.31,161.26,161.76,18666414,160.8277495292,160.8572989687,158.8380872677,159.3305779265,18666414,0.0,1.0
MSFT,2020-01-14,162.13,163.6,161.72,163.39,23500783,159.695021014,161.1429435508,159.2911786738,160.9360974741,23500783,0.0,1.0
MSFT,2020-01-15,163.18,163.94,162.57,162.62,21417871,160.7292513974,161.4778371988,160.1284127937,160.1776618596,21417871,0.0,1.0
MSFT,2020-01-16,166.17,166.24,164.03,164.35,23865360,163.6743455369,163.7432942291,161.5664855173,161.8816795389,23865360,0.0,1.0
MSFT,2020-01-17,167.1,167.47,165.43,167.42,34371659,164.5903781622,164.9548212497,162.9454593619,164.9055721838,34371659,0.0,1.0
MSFT,2020-01-21,166.5,168.19,166.43,166.68,29223486,163.9993893717,165.6640077983,163.9304406794,164.1766860088,29223486,0.0,1.0
MSFT,2020-01-22,165.7,167.49,165.68,167.4,24138777,163.2114043176,164.974520876,163.1917046913,164.8858725575,24138777,0.0,1.0
MSFT,2020-01-23,166.72,166.8,165.27,166.19,19680766,164.2160852615,164.2948837669,162.7878623511,163.6940451632,19680766,0.0,1.0
MSFT,2020-01-24,165.04,167.53,164.45,167.51,24918117,162.5613166481,165.0139201287,161.9801776707,164.9942205024,24918117,0.0,1.0
MSFT,2020-01-27,162.28,163.38,160.2,161.15,32078067,159.8427682116,160.9262476609,157.7940070711,158.7297393228,32078067,0.0,1.0
MSFT,2020-01-28,165.46,165.76,163.07,163.78,24899940,162.9750088014,163.2705031967,160.6209034525,161.3202401879,24899940,0.0,1.0
MSFT,2020-01-29,168.04,168.75,165.69,167.84,35127771,165.5162606007,166.2155973362,163.2015545045,165.3192643372,35127771,0.0,1.0
MSFT,2020-01-30,172.78,174.05,170.79,174.05,51597470,170.1850720459,171.4359983192,168.224959224,171.4359983192,51597470,0.0,1.0
MSFT,2020-01-31,170.23,172.4,169.58,172.21,36142690,167.6733696861,169.8107791452,167.0331318297,169.6236326949,36142690,0.0,1.0
MSFT,2020-02-03,174.38,174.5,170.4,170.43,30149052,171.761042154,171.8792399121,167.8408165101,167.8703659496,30149052,0.0,1.0
MSFT,2020-02-04,180.12,180.64,176.31,177.14,36433339,177.4148349167,177.9270252018,173.6620560968,174.4795905904,36433339,0.0,1.0
MSFT,2020-02-05,179.9,184.2,178.41,184.03,39186324,177.1981390268,181.4335586923,175.7305168637,181.2661118683,39186324,0.0,1.0
MSFT,2020-02-06,183.63,183.82,180.06,180.97,27751381,180.8721193413,181.0592657916,177.3557360376,178.2520690366,27751381,0.0,1.0
MSFT,2020-02-07,183.89,185.63,182.48,182.85,33529074,181.1282144838,182.8420819764,179.7393908261,180.1038339136,33529074,0.0,1.0
MSFT,2020-02-10,188.7,188.84,183.25,183.58,35844267,185.8659746212,186.0038720057,180.4978264406,180.8228702754,35844267,0.0,1.0
MSFT,2020-02-11,184.44,190.7,183.5,190.65,53159906,181.6699542085,187.8359372563,180.74407177,187.7866881905,53159906,0.0,1.0
MSFT,2020-02-12,184.71,185.85,181.85,185.58,47062921,181.9358991642,183.0587778662,179.118852596,182.7928329105,47062921,0.0,1.0
MSFT,2020-02-13,183.71,186.23,182.87,183.08,35295834,180.9509178467,183.4330707669,180.1235335399,180.3303796166,35295834,0.0,1.0
MSFT,2020-02-14,185.35,185.41,182.65,183.25,23149516,182.5662872074,182.6253860865,179.9068376501,180.4978264406,23149516,0.0,1.0
MSFT,2020-02-18,187.23,187.7,185.5,185.61,27853113,184.4180520844,184.8809933037,182.7140344051,182.82238235,27853113,0.0,1.0
MSFT,2020-02-19,187.28,188.18,186.47,188.06,29997471,184.9696416223,185.8585388748,184.169634095,185.7400192412,29997471,0.51,1.0
MSFT,2020-02-20,184.42,187.25,181.1,186.95,36862376,182.1449236863,184.9400117138,178.865880488,184.6437126297,36862376,0.0,1.0
MSFT,2020-02-21,178.59,183.5,177.25,183.17,48600385,176.386844817,181.2362731615,175.0633755743,180.9103441689,48600385,0.0,1.0
MSFT,2020-02-24,170.89,174.55,163.23,167.77,68311066,168.7818349895,172.3966838166,161.2163317065,165.7003245139,68311066,0.0,1.0
MSFT,2020-02-25,168.07,174.84,167.65,174.2,68073295,165.9966235981,172.6831062646,165.5818048802,172.0510015517,68073295,0.0,1.0
MSFT,2020-02-26,170.17,173.26,168.21,169.71,56387148,168.0707171874,171.1225977546,166.1348965041,167.616391925,56387148,0.0,1.0
MSFT,2020-02-27,158.18,167.03,157.98,163.32,93174906,156.2286304561,164.9694534396,156.0310977333,161.3052214318,93174906,0.0,1.0
MSFT,2020-02-28,162.01,163.71,152.0,152.41,97073557,160.0113820975,161.6904102412,150.1248693218,150.5298114035,97073557,0.0,1.0
MSFT,2020-03-02,172.79,172.92,162.31,165.31,71030810,170.658395856,170.7867921258,160.3076811817,163.2706720236,71030810,0.0,1.0
MSFT,2020-03-03,164.51,175.0,162.26,173.8,71677019,162.4805411324,172.8411324428,160.258298001,171.6559361061,71677019,0.0,1.0
MSFT,2020-03-04,170.55,170.7,165.62,168.49,49814383,168.4460293607,168.5941789028,163.5768477439,166.411442316,49814383,0.0,1.0
MSFT,2020-03-05,166.27,170.87,165.69,166.05,47817251,164.218829093,168.7620817172,163.6459841969,164.0015430979,47817251,0.0,1.0
MSFT,2020-03-06,161.57,163.11,156.0,162.61,72821057,159.5768101074,161.0978120729,154.0755237776,160.6039802659,72821057,0.0,1.0
MSFT,2020-03-09,150.62,157.75,150.0,151.0,70419274,148.7618935345,155.8039351021,148.1495420939,149.1372057078,70419274,0.0,1.0
MSFT,2020-03-10,160.92,161.03,152.58,158.16,65354385,158.9348287583,159.0434717558,150.6977142179,156.2088771838,65354385,0.0,1.0
MSFT,2020-03-11,153.63,157.7,151.15,157.13,56504304,151.7347610125,155.7545519214,149.2853552499,155.1915836614,56504304,0.0,1.0
MSFT,2020-03-12,139.06,153.47,138.58,145.3,93226366,137.3445021572,151.5767348343,136.8704236225,143.5075231083,93226366,0.0,1.0
MSFT,2020-03-13,158.83,161.91,140.73,147.5,92727446,156.8706118051,159.9126157361,138.9939003925,145.680383059,92727446,0.0,1.0
MSFT,2020-03-16,135.42,149.35,135.0,140.0,87905868,133.7494066023,147.5075607448,133.3345878845,138.2729059543,87905868,0.0,1.0
MSFT,2020-03-17,146.57,147.5,135.0,140.0,81059817,144.761855898,145.680383059,133.3345878845,138.2729059543,81059817,0.0,1.0
